Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:02:58.784,114200.6,0.002,BTCUSDT
2025-09-30 00:02:58.784,114200.4,0.002,BTCUSDT
2025-09-30 00:02:58.784,114200.4,0.01,BTCUSDT
2025-09-30 00:02:58.784,114200.4,0.008,BTCUSDT
2025-09-30 00:02:58.784,114200.3,0.001,BTCUSDT
2025-09-30 00:02:58.784,114200.3,0.06,BTCUSDT
2025-09-30 00:02:58.789,114200.1,0.001,BTCUSDT
2025-09-30 00:02:58.789,114200.1,0.001,BTCUSDT
2025-09-30 00:02:58.789,114200.0,0.001,BTCUSDT
2025-09-30 00:02:58.789,114200.0,0.001,BTCUSDT
2025-09-30 00:02:58.789,114200.0,0.002,BTCUSDT
2025-09-30 00:02:58.789,114200.0,0.001,BTCUSDT
2025-09-30 00:02:58.789,114199.8,0.001,BTCUSDT
2025-09-30 00:02:58.789,114199.7,0.002,BTCUSDT
2025-09-30 00:02:58.789,114199.5,0.002,BTCUSDT
2025-09-30 00:02:58.789,114199.5,0.002,BTCUSDT
2025-09-30 00:02:58.789,114199.3,0.002,BTCUSDT
2025-09-30 00:02:58.789,114199.2,0.001,BTCUSDT
2025-09-30 00:02:58.789,114199.2,0.005,BTCUSDT
2025-09-30 00:02:58.789,114198.9,0.001,BTCUSDT
2025-09-30 00:02:58.799,114198.8,0.002,BTCUSDT
2025-09-30 00:02:58.799,114198.8,0.001,BTCUSDT
2025-09-30 00:02:58.799,114198.8,0.001,BTCUSDT
2025-09-30 00:02:58.799,114198.8,0.001,BTCUSDT
2025-09-30 00:02:58.799,114198.8,0.004,BTCUSDT
2025-09-30 00:02:58.799,114198.8,0.026,BTCUSDT
2025-09-30 00:02:58.799,114198.8,0.038,BTCUSDT
2025-09-30 00:02:58.802,114198.8,0.023,BTCUSDT
2025-09-30 00:02:58.802,114198.8,0.002,BTCUSDT
2025-09-30 00:02:58.802,114198.8,0.001,BTCUSDT
2025-09-30 00:02:58.802,114198.8,0.001,BTCUSDT
2025-09-30 00:02:58.802,114198.7,0.001,BTCUSDT
2025-09-30 00:02:58.802,114198.7,0.001,BTCUSDT
2025-09-30 00:02:58.802,114198.4,0.002,BTCUSDT
2025-09-30 00:02:58.802,114198.4,0.001,BTCUSDT
2025-09-30 00:02:58.802,114198.4,0.002,BTCUSDT
2025-09-30 00:02:58.802,114198.3,0.001,BTCUSDT
2025-09-30 00:02:58.802,114198.0,0.002,BTCUSDT
2025-09-30 00:02:58.802,114197.6,0.001,BTCUSDT
2025-09-30 00:02:58.802,114197.4,0.002,BTCUSDT
2025-09-30 00:02:58.802,114197.2,0.002,BTCUSDT
2025-09-30 00:02:58.802,114197.1,0.002,BTCUSDT
2025-09-30 00:02:58.809,114196.6,0.002,BTCUSDT
2025-09-30 00:02:58.809,114196.6,0.001,BTCUSDT
2025-09-30 00:02:58.809,114196.6,0.001,BTCUSDT
2025-09-30 00:02:58.809,114196.6,0.001,BTCUSDT
2025-09-30 00:02:58.809,114196.6,0.001,BTCUSDT
2025-09-30 00:02:58.809,114196.6,0.001,BTCUSDT
2025-09-30 00:02:58.809,114196.6,0.001,BTCUSDT
2025-09-30 00:02:58.809,114196.6,0.009,BTCUSDT
2025-09-30 00:02:58.809,114196.6,0.001,BTCUSDT
2025-09-30 00:02:58.810,114196.6,0.001,BTCUSDT
2025-09-30 00:02:58.810,114196.6,0.019,BTCUSDT
2025-09-30 00:02:58.812,114196.6,0.02,BTCUSDT
2025-09-30 00:02:58.817,114196.6,0.001,BTCUSDT
2025-09-30 00:02:58.817,114196.6,0.002,BTCUSDT
2025-09-30 00:02:59.193,114196.6,0.555,BTCUSDT
2025-09-30 00:02:59.419,114196.5,0.001,BTCUSDT
2025-09-30 00:02:59.700,114196.5,0.01,BTCUSDT
2025-09-30 00:02:59.878,114196.6,0.064,BTCUSDT
2025-09-30 00:03:00.038,114196.5,0.001,BTCUSDT
2025-09-30 00:03:00.038,114196.5,0.035,BTCUSDT
2025-09-30 00:03:00.341,114196.6,0.001,BTCUSDT
2025-09-30 00:03:00.693,114196.6,0.001,BTCUSDT
2025-09-30 00:03:00.751,114196.6,0.005,BTCUSDT
2025-09-30 00:03:01.253,114196.6,0.005,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.001,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.006,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.001,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.001,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.087,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.087,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.087,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.001,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.004,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.087,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.017,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.003,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.01,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.082,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.002,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.012,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.001,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.002,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.004,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.001,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.001,BTCUSDT
2025-09-30 00:03:01.315,114196.4,0.001,BTCUSDT
2025-09-30 00:03:01.315,114196.4,0.001,BTCUSDT
2025-09-30 00:03:01.315,114196.4,0.001,BTCUSDT
2025-09-30 00:03:01.315,114196.4,0.008,BTCUSDT
2025-09-30 00:03:01.315,114196.4,0.002,BTCUSDT
2025-09-30 00:03:01.315,114196.4,0.002,BTCUSDT
2025-09-30 00:03:01.315,114196.1,0.002,BTCUSDT
2025-09-30 00:03:01.315,114195.8,0.002,BTCUSDT
2025-09-30 00:03:01.315,114195.3,0.065,BTCUSDT
2025-09-30 00:03:01.315,114195.2,0.002,BTCUSDT
2025-09-30 00:03:01.315,114195.2,0.002,BTCUSDT
2025-09-30 00:03:01.315,114195.0,0.001,BTCUSDT
